sod,deposition_angle,velocity
33.94430768801443,62.03259816546557,115.52186944011815
32.269174883777296,50.485307807586324,99.29224288724274
40.113032703590115,66.91008332919111,75.1625151564326
87.57067036669879,86.06890772040929,112.76431334820185
70.01875926308261,86.72292043260478,86.32197396021971
97.92124385966754,76.18209029828927,72.96346021567842
96.84438018897661,54.996445653801565,136.76650650883096
54.678073316637615,57.56585579484478,82.1425051715704
99.22879420408528,70.69619268914562,85.91491032519443
85.02578315193192,68.58437893756397,96.5889296777479
66.84737242435989,79.6162369006529,136.40012239669986
72.58757094103413,52.089210666708034,107.08070485455428
82.14540659502023,56.679624039346166,89.69745420126549
95.89559368576339,87.10018564326809,131.55642907192288
80.73239255459139,89.44271433632409,67.89437390807747
61.470708367446136,60.46001153118391,114.94889586142634
98.42967086295668,65.92546534207503,110.74211440156355
42.40851231328209,87.98030699866553,123.7801988578773
67.54926234087685,66.1169445167883,112.05477896594888
45.094210906140255,54.19210826766525,109.45529514170047
48.949123172877925,61.56782737445329,103.91301852469175
76.87350873606448,72.01844953087158,53.103679875946916
95.00244242974546,85.49924722117063,62.73845829923462
69.03268291238612,77.82786047292223,65.0892680623434
31.724508704134376,73.34189894087181,87.99156009117249
78.94956626603022,67.94833610424809,59.55698693147306
55.825462868489396,72.51525428847658,134.59522746578932
76.64546873174173,51.10036631971532,119.1107027734564
64.98594667938373,53.68310541445992,69.03685419920473
71.5689145850987,81.19960470069209,93.21211267802478
56.27015713161638,73.49982589068,71.97485551948473
62.90488865448604,57.40875960472776,148.49090370961795
47.384586119717866,75.79481689599969,55.36583686448432
91.8027804545664,77.43755478025822,149.06705715491898
75.56834540259005,62.34313904848406,100.75194190660139
33.18486506596747,87.80168933086478,70.97034458420646
30.843368435323402,79.91861205517662,121.39229828022185
35.411127526191116,60.08658670969808,61.15962320917482
73.4590637700498,70.20066463805315,122.94544288247984
86.2618345744458,65.38065505118207,127.92686337414469
60.25484189568145,89.83949403105017,103.17599213050597
46.6166609786664,75.15744547032938,107.9043625968319
53.641506938296324,67.28032917785555,95.19546270970326
35.86423582345161,76.85341514583743,142.32254967988615
74.25767626961297,84.24743237051896,141.61807169749062
51.44538305370561,52.15543508627123,64.02359541740947
89.76889551308713,50.75673780841552,54.684455558882455
82.74200680526911,78.74253816215685,120.00801224100731
79.6860010664117,61.05761297968432,81.11744464703081
53.32032613147234,83.96673779126291,146.71103866169727
94.27767943187985,59.122047588352125,75.50058394555005
70.31555326633631,55.816284443700525,125.56556618914912
37.20418180175026,58.18164126149765,130.3640071809508
89.3129731246308,82.16196246662521,105.84729323528536
85.0929620023431,59.046713303372705,145.11424861289683
91.38513360849811,75.044472440607,99.58899803724759
63.909490568995565,70.82366759624162,129.55790800354328
59.62170351847199,80.79681861836394,91.44531753981653
40.5520217267333,85.03789328103328,97.41987058666263
49.60711614021455,64.68208202339034,143.66852264072406
43.24948377556322,71.39016179216114,83.78445164910966
88.50513288495793,63.98826003620748,50.337613851534634
48.320472535061725,81.76034053218999,76.76324993199133
92.6352603418467,54.282294386989385,91.01203923332575
62.41852136930445,78.89007324153339,57.79562091116734
77.87975257146456,83.48555484116292,80.47966788133519
41.74524642464077,63.39110545799738,79.22074090514681
83.7540389293226,74.30288371211995,133.808136663265
39.32646188156573,53.07751678400061,140.63785056015956
57.36751857129467,56.239193552454466,58.29499879471227
44.22293627814234,69.21732814270176,127.0669657977866
38.062308230150165,82.90348980045299,51.681354661445944
65.9580765590135,62.816439265414544,66.66527363319551
51.880103324481475,88.84235041678033,117.34855460619796
58.31466006808732,68.69178698929613,138.49692154573006
66.58230766010826,86.85574277889219,119.36182743895824
38.20658179605192,60.24448624099179,121.06878878677803
74.49294415943535,71.78166085193666,58.71886367324454
94.67202208606753,67.47334240351174,80.24377648363244
89.84729843473104,78.70895354691669,135.56585801172668
64.69337363948941,54.11720790242039,63.169510467575456
52.55131552048367,64.51680790306968,141.4140208008862
84.40932894750657,53.6232906084494,102.41912259914626
32.11842379658445,77.38284203172981,95.33278996272966
48.518318223090915,85.22144516859213,70.73235011151398
